entity_alias_readable	Decayed	Sweet	Woody	Medicinal	Sulfidic	Fruity	Smoky	Uncategorised	Floral	Citrus	Mint
496	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.25	0.26	0.13	0.18
497	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
498	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
499	0.23	0.26	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
500	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
501	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
502	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
503	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
504	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
505	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
506	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
507	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
508	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
509	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
510	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
511	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
512	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
513	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
514	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
515	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
516	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
517	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
518	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
519	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
